日期,收支类型,类别,金额,备注
2021年12月01日,支出,住房,6229.5,房贷
2021年12月01日,支出,交通,7.5,停车
2021年12月01日,支出,餐饮,5.4,
2021年12月01日,支出,餐饮,28,
2021年12月01日,收入,二手,848,iPhone x
2021年12月01日,支出,餐饮,13,卢
2021年12月02日,支出,交通,7.5,停车
2021年12月02日,支出,餐饮,10.8,
2021年12月02日,支出,餐饮,17.78,
2021年12月02日,支出,餐饮,11.5,
2021年12月02日,支出,餐饮,11,卢
2021年12月02日,支出,娱乐,15,腾讯视频
2021年12月03日,支出,交通,7.5,停车
2021年12月03日,支出,餐饮,8.4,
2021年12月03日,支出,餐饮,24.9,
2021年12月03日,支出,餐饮,11.5,
2021年12月03日,支出,餐饮,38.25,卢
2021年12月03日,支出,餐饮,18,卢
2021年12月03日,支出,餐饮,9,卢
2021年12月04日,支出,餐饮,94.98,叮咚
2021年12月05日,支出,大餐,237,小肥羊
2021年12月05日,支出,交通,30,停车
2021年12月05日,支出,交通,8,停车
2021年12月05日,支出,餐饮,34.19,
2021年12月05日,支出,美容,238,睫毛
2021年12月06日,支出,交通,15,停车
2021年12月06日,支出,餐饮,9.6,
2021年12月06日,支出,餐饮,23.8,
2021年12月06日,支出,餐饮,15,
2021年12月06日,支出,通讯,49.8,
2021年12月07日,支出,餐饮,8.4,
2021年12月07日,支出,交通,7.5,停车
2021年12月07日,支出,餐饮,16.71,
2021年12月07日,支出,餐饮,13.5,
2021年12月07日,支出,餐饮,11,卢
2021年12月08日,支出,交通,7.5,停车
2021年12月08日,支出,餐饮,9.6,
2021年12月08日,支出,餐饮,11.78,
2021年12月08日,支出,餐饮,14,
2021年12月08日,支出,餐饮,62,卢
2021年12月08日,支出,餐饮,22,卢
2021年12月08日,支出,餐饮,9.9,卢
2021年12月08日,支出,餐饮,20.8,卢
2021年12月09日,支出,交通,7.5,停车
2021年12月09日,支出,餐饮,9.6,
2021年12月09日,支出,水电煤气,91.27,电
2021年12月09日,支出,居家,37.55,钢球子
2021年12月09日,支出,餐饮,29,
2021年12月09日,支出,交通,300,油
2021年12月09日,支出,餐饮,19.9,
2021年12月09日,支出,餐饮,35,卢
2021年12月09日,支出,餐饮,30,卢
2021年12月10日,支出,交通,7.5,停车
2021年12月10日,支出,餐饮,8.4,
2021年12月10日,支出,数码,15.9,CtoA
2021年12月10日,支出,餐饮,28.18,
2021年12月10日,收入,工资,16060.23,
2021年12月10日,收入,兼职,10350,
2021年12月10日,支出,社交,250,卢
2021年12月10日,支出,餐饮,10,卢
2021年12月10日,支出,餐饮,29.7,卢
2021年12月11日,支出,交通,7.5,停车
2021年12月11日,支出,餐饮,13,
2021年12月11日,支出,交通,12,停车
2021年12月11日,支出,大餐,146,九尾壶
2021年12月11日,支出,餐饮,30,爸爸糖
2021年12月11日,支出,餐饮,197.35,叮咚
2021年12月11日,支出,交通,7.5,停车
2021年12月11日,支出,快递,13,
2021年12月12日,支出,交通,7.5,停车
2021年12月12日,支出,娱乐,108,bilibili
2021年12月12日,支出,娱乐,13.95,羽毛球拍缠手胶
2021年12月12日,支出,服饰,416.9,匡威
2021年12月12日,支出,餐饮,14.9,菜
2021年12月12日,支出,餐饮,37,乐家
2021年12月13日,支出,交通,15,停车
2021年12月13日,支出,餐饮,6,
2021年12月13日,支出,餐饮,12.88,
2021年12月13日,支出,水电煤气,13.86,水
2021年12月13日,支出,住房,283.62,物业费
2021年12月13日,支出,餐饮,15.5,
2021年12月13日,支出,餐饮,13,卢
2021年12月14日,支出,餐饮,15,
2021年12月14日,支出,交通,7.5,停车
2021年12月14日,支出,餐饮,24.7,
2021年12月14日,支出,餐饮,12,
2021年12月14日,支出,娱乐,48,卢
2021年12月14日,支出,餐饮,125,卢
2021年12月14日,支出,交通,12,打车
2021年12月14日,支出,医疗,810.27,体检
2021年12月15日,支出,交通,7.5,停车
2021年12月15日,支出,餐饮,6,
2021年12月15日,支出,餐饮,21.62,
2021年12月15日,支出,餐饮,15.5,
2021年12月15日,支出,餐饮,16,卢
2021年12月16日,支出,宠物,20.24,剪刀
2021年12月16日,支出,服饰,169.08,睡衣
2021年12月16日,支出,数码,25.18,手机壳
2021年12月16日,支出,服饰,211.89,奶篓子
2021年12月16日,支出,服饰,32.2,袜子
2021年12月16日,支出,水电煤气,55.2,煤气
2021年12月16日,支出,交通,7.5,停车
2021年12月16日,支出,餐饮,24.4,
2021年12月16日,支出,餐饮,13.5,
2021年12月16日,支出,娱乐,12,卢
2021年12月17日,支出,餐饮,9,
2021年12月17日,支出,餐饮,28.5,
2021年12月17日,支出,交通,7.5,停车
2021年12月17日,支出,餐饮,13.5,
2021年12月17日,支出,交通,300,油
2021年12月17日,支出,服饰,662.48,朗姿莱茵
2021年12月17日,支出,居家,39.72,拖布
2021年12月17日,支出,快递,4,
2021年12月17日,支出,快递,4,
2021年12月17日,支出,日常洗护,86.07,李乳液
2021年12月17日,支出,餐饮,16,卢
2021年12月18日,支出,餐饮,3,
2021年12月18日,支出,餐饮,18,
2021年12月18日,支出,社交,916,丁伟东婚礼机票
2021年12月18日,支出,社交,52.97,丁伟东 停车场
2021年12月18日,支出,餐饮,57.07,叮咚买菜
2021年12月18日,支出,交通,7.5,停车
2021年12月19日,支出,份子钱,1000,丁伟东
2021年12月19日,支出,餐饮,97.32,叮咚买菜
2021年12月20日,支出,交通,50,羊城通
2021年12月20日,支出,餐饮,6,
2021年12月20日,支出,交通,7.5,停车
2021年12月20日,支出,餐饮,21.9,
